id,employee_id:id,skill_id:id,skill_type_id:id,skill_level_id:id
employee_skill_1,employee_1,hr_skill_french,hr_skill_type_lang,hr_skill_level_c1
employee_skill_2,employee_1,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2
employee_skill_3,employee_1,hr_skill_analytics,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_4,employee_1,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_5,employee_1,hr_skill_visual,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_6,employee_1,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_7,employee_1,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_8,employee_1,hr_skill_leadership,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_9,employee_1,hr_skill_performance,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_10,employee_2,hr_skill_french,hr_skill_type_lang,hr_skill_level_c1
employee_skill_11,employee_2,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2
employee_skill_12,employee_2,hr_skill_urdu,hr_skill_type_lang,hr_skill_level_c1
employee_skill_13,employee_2,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_14,employee_2,hr_skill_visual,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_15,employee_2,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_16,employee_2,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_17,employee_2,hr_skill_leadership,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_18,employee_2,hr_skill_performance,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_19,employee_3,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2
employee_skill_20,employee_3,hr_skill_urdu,hr_skill_type_lang,hr_skill_level_c2
employee_skill_21,employee_3,hr_skill_visual,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_22,employee_3,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_23,employee_3,hr_skill_leadership,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_24,employee_3,hr_skill_performance,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_25,employee_4,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1
employee_skill_26,employee_4,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_27,employee_4,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_28,employee_4,hr_skill_com,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_29,employee_4,hr_skill_patience,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_30,employee_4,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_31,employee_4,hr_skill_self_discipline,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_32,employee_5,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_33,employee_5,hr_skill_com,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_34,employee_6,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1
employee_skill_35,employee_6,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_36,employee_6,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_37,employee_6,hr_skill_com,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_38,employee_6,hr_skill_patience,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_39,employee_7,hr_skill_urdu,hr_skill_type_lang,hr_skill_level_c1
employee_skill_40,employee_7,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2
employee_skill_41,employee_7,hr_skill_analytics,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_42,employee_7,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_43,employee_7,hr_skill_visual,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_44,employee_7,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_45,employee_8,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1
employee_skill_46,employee_8,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_47,employee_8,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_48,employee_8,hr_skill_com,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_49,employee_8,hr_skill_patience,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_50,employee_8,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_51,employee_8,hr_skill_self_discipline,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_52,employee_9,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2
employee_skill_53,employee_9,hr_skill_urdu,hr_skill_type_lang,hr_skill_level_c1
employee_skill_54,employee_9,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_55,employee_9,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_56,employee_9,hr_skill_leadership,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_57,employee_9,hr_skill_performance,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_58,employee_10,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2
employee_skill_59,employee_10,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_60,employee_10,hr_skill_leadership,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_61,employee_11,hr_skill_french,hr_skill_type_lang,hr_skill_level_c1
employee_skill_62,employee_11,hr_skill_english,hr_skill_type_lang,hr_skill_level_c2
employee_skill_63,employee_11,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_64,employee_11,hr_skill_visual,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_65,employee_11,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_66,employee_11,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_67,employee_11,hr_skill_leadership,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_68,employee_11,hr_skill_performance,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_69,employee_11,hr_skill_self_discipline,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_70,employee_12,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1
employee_skill_71,employee_12,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_72,employee_12,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_73,employee_12,hr_skill_com,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_74,employee_12,hr_skill_patience,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_75,employee_12,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_76,employee_12,hr_skill_self_discipline,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_77,employee_13,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1
employee_skill_78,employee_13,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_79,employee_13,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_80,employee_13,hr_skill_com,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_81,employee_13,hr_skill_patience,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_82,employee_13,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_83,employee_13,hr_skill_self_discipline,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_84,employee_14,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1
employee_skill_85,employee_14,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_86,employee_14,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_87,employee_14,hr_skill_com,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_88,employee_14,hr_skill_patience,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_89,employee_14,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_90,employee_14,hr_skill_self_discipline,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_91,employee_15,hr_skill_english,hr_skill_type_lang,hr_skill_level_c1
employee_skill_92,employee_15,hr_skill_public,hr_skill_type_comm,hr_skill_level_cl4
employee_skill_93,employee_15,hr_skill_written,hr_skill_type_comm,hr_skill_level_cl3
employee_skill_94,employee_15,hr_skill_com,hr_skill_type_train_teach,hr_skill_level_tl4
employee_skill_95,employee_15,hr_skill_patience,hr_skill_type_train_teach,hr_skill_level_tl3
employee_skill_96,employee_15,hr_skill_mentoring,hr_skill_type_train_teach,hr_skill_level_tl2
employee_skill_97,employee_15,hr_skill_self_discipline,hr_skill_type_train_teach,hr_skill_level_tl4
